"(PDH-CSV 4.0) (Mountain Standard Time)(420)","\\WS2012-JJ\Process(w3wp)\Working Set - Private","\\WS2012-JJ\Process(w3wp)\% Processor Time","\\WS2012-JJ\Process(sqlservr)\Working Set - Private","\\WS2012-JJ\Process(sqlservr)\% Processor Time","\\WS2012-JJ\SQLServer:Transactions\Transactions","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614983959287947[1604])\SoftConnectsPerSecond","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614983959287947[1604])\NumberOfPooledConnections","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614983959287947[1604])\NumberOfActiveConnections"
"11/26/2014 11:00:26.287","21880832"," ","103698432"," ","6"," ","1","0"
"11/26/2014 11:00:27.303","21864448","0","103698432","0","6","0","1","0"
"11/26/2014 11:00:28.305","43937792","129.20687266788229","103907328","14.010383783264343","8","65.861870286389049","5","3"
"11/26/2014 11:00:29.307","76169216","196.33978871832574","103931904","34.281550411136237","6","97.891929161091042","5","0"
"11/26/2014 11:00:30.308","113393664","186.98502661073533","103931904","26.489545436520839","10","118.86178071173498","5","5"
"11/26/2014 11:00:31.309","126017536","182.31994347838292","104046592","29.607512188797223","7","115.87325156786297","6","3"
"11/26/2014 11:00:32.310","126021632","188.54973261989352","104046592","29.606982808082456","9","122.86336577880039","6","4"
"11/26/2014 11:00:33.311","133734400","186.98560559674695","104046592","21.814987319620478","6","118.8555953384782","6","0"
"11/26/2014 11:00:34.313","162566144","177.46760618250704","104046592","32.691401138882881","8","121.74365960967717","6","3"
"11/26/2014 11:00:35.314","163704832","180.73381493419427","104046592","24.928802059888866","7","116.85777775979614","6","2"
"11/26/2014 11:00:36.315","163704832","183.89693366216389","104046592","24.935177445717134","7","125.86635548634959","6","2"
"11/26/2014 11:00:37.318","163983360","186.79428732449233","104128512","34.245619342823588","8","124.72142298612538","7","3"
"11/26/2014 11:00:38.320","163987456","174.3602291976068","104136704","18.681453128315013","9","113.77528908004409","7","3"
"11/26/2014 11:00:39.322","164290560","183.6906170101131","104136704","40.474203747991019","8","124.73748656026672","7","2"
"11/26/2014 11:00:40.323","164110336","208.79014457705932","104136704","42.069655996870168","8","123.85006355544698","7","3"
"11/26/2014 11:00:41.324","164356096","199.45280680979937","104144896","21.815150744821807","7","113.86742937665899","7","2"
"11/26/2014 11:00:42.326","164605952","174.36778112832155","104144896","34.250814150206018","6","115.76498822387319","7","0"
"11/26/2014 11:00:43.327","164745216","180.75421449981917","104144896","28.048067767213318","9","122.86230293408914","7","3"
"11/26/2014 11:00:44.330","164937728","188.17525108564442","104144896","26.437845193850869","10","116.64052717993007","7","4"
"11/26/2014 11:00:45.332","164749312","177.63950140195863","104144896","20.257136124784758","6","118.85950050592582","7","1"
"11/26/2014 11:00:46.334","164548608","180.57552291326641","104144896","20.236912050624685","9","119.7458506140926","7","3"
