"(PDH-CSV 4.0) (Mountain Standard Time)(420)","\\WS2012-JJ\Process(w3wp)\Working Set - Private","\\WS2012-JJ\Process(w3wp)\% Processor Time","\\WS2012-JJ\Process(sqlservr)\Working Set - Private","\\WS2012-JJ\Process(sqlservr)\% Processor Time","\\WS2012-JJ\SQLServer:Transactions\Transactions","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614467349942263[1596])\SoftConnectsPerSecond","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614467349942263[1596])\NumberOfPooledConnections","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614467349942263[1596])\NumberOfActiveConnections"
"11/25/2014 20:40:35.741","40816640"," ","103559168"," ","6"," ","1","0"
"11/25/2014 20:40:36.763","40816640","0","103559168","0","6","0","1","0"
"11/25/2014 20:40:37.770","78155776","88.293413057709785","103866368","1.5490072466264875","6","24.824558909300475","4","1"
"11/25/2014 20:40:38.771","173654016","241.52727163033657","103948288","4.6747213863936112","9","63.924187527436906","5","3"
"11/25/2014 20:40:39.772","269672448","261.78719558368789","103960576","10.907799815986996","7","64.922577240516475","5","1"
"11/25/2014 20:40:40.774","405626880","311.3418929186339","104411136","9.3402567875590172","8","93.812913796268901","8","3"
"11/25/2014 20:40:41.775","453156864","322.56031860268706","104427520","10.907836860960433","7","87.90108642966112","8","2"
"11/25/2014 20:40:42.776","466587648","288.27249867026921","104484864","20.256986393045946","9","98.885017742450927","9","4"
"11/25/2014 20:40:43.778","535580672","269.57845423898112","104493056","10.907798726432762","9","76.912468716154592","9","3"
"11/25/2014 20:40:44.779","603893760","317.88486456617346","104501248","17.140850540332885","12","88.902840190352507","9","6"
"11/25/2014 20:40:45.780","702140416","322.5594164480874","104615936","10.907806353316966","8","78.908285013933195","10","2"
"11/25/2014 20:40:46.781","702124032","308.52930015699059","104607744","14.024059098045024","7","97.885387073337213","10","2"
"11/25/2014 20:40:47.782","701759488","308.5366349445066","104624128","21.815721662742892","12","63.932589874597411","10","9"
"11/25/2014 20:40:48.783","702291968","244.64543869334682","104624128","7.7912560093422556","6","98.8868734024623","10","2"
"11/25/2014 20:40:49.784","702214144","286.72231665032484","104632320","10.907914220392795","8","86.903356282566122","10","3"
"11/25/2014 20:40:50.785","702152704","288.27647234566342","104632320","21.815516826158316","10","110.87685065029972","10","4"
"11/25/2014 20:40:51.787","702070784","305.41799825037043","104632320","14.024295838027214","10","86.903586665750439","10","4"
"11/25/2014 20:40:52.788","702025728","261.78356088086889","104632320","18.69882577720492","8","116.86016622029807","10","5"
"11/25/2014 20:40:53.789","702246912","292.95344988733132","104632320","12.466104250524737","6","77.914419285683934","10","2"
"11/25/2014 20:40:54.790","702291968","325.67765670215027","104632320","18.69919560012346","7","100.89012711447295","10","1"
"11/25/2014 20:40:55.790","701984768","283.8838079581144","104640512","14.038210283643021","10","74.988891644107213","10","4"
"11/25/2014 20:40:56.791","701730816","297.33055829252163","104640512","20.237158417815611","8","77.838410404753191","10","4"
"11/25/2014 20:40:57.848","702107648","288.03246962967046","104644608","11.816716702755711","12","56.807744821453412","10","7"
"11/25/2014 20:40:58.849","702214144","239.9724588818558","104644608","10.907839040084353","8","82.909286174834023","10","2"
"11/25/2014 20:40:59.850","702078976","243.32562080580701","104644608","10.918457343850314","9","95.979695568998395","10","4"
"11/25/2014 20:41:00.851","702377984","282.04777800397039","104644608","23.374125248947824","6","92.899516920547981","10","1"
"11/25/2014 20:41:01.852","699928576","255.55268657728706","104644608","17.140728977744864","8","76.91223799781757","10","2"
"11/25/2014 20:41:02.854","699850752","300.44543634310713","104644608","12.453696843237601","6","106.77839920071899","10","3"
"11/25/2014 20:41:03.854","699928576","302.60444730897842","104644608","10.91871717094252","7","89.988140418616752","10","1"
"11/25/2014 20:41:04.861","699904000","233.89184964214456","104644608","15.48952646636719","8","88.365550972881053","10","2"
"11/25/2014 20:41:05.862","699826176","278.92663079985925","104644608","4.6747480022322776","8","82.904242692461764","10","4"
"11/25/2014 20:41:06.897","699387904","336.07825429777552","104644608","12.056618988261006","8","91.76832528436853","10","2"
"11/25/2014 20:41:07.899","699912192","253.99218051108957","104644608","15.58234236264353","6","103.89387256061376","10","1"
"11/25/2014 20:41:08.900","699932672","313.21424822020111","104644608","18.699358102698575","6","81.91269925433113","10","2"
"11/25/2014 20:41:09.901","699600896","219.7111150976807","104665088","7.7911742942439961","6","101.88087245957809","10","2"
"11/25/2014 20:41:10.902","699879424","311.65456748816422","104665088","9.3496370246449256","7","83.909469396024519","10","1"
"11/25/2014 20:41:11.903","699883520","286.71719012562079","104665088","10.907719189561661","9","78.905907073568414","10","4"
"11/25/2014 20:41:12.904","699600896","296.06613140037882","104665088","15.582427968440991","10","75.915994001405323","10","4"
"11/25/2014 20:41:13.905","699920384","297.62886330196511","104665088","9.3495978000617299","7","84.906904823181506","10","2"
"11/25/2014 20:41:14.907","699809792","294.50409380440635","104665088","18.698672622501991","8","96.885434650628099","10","6"
"11/25/2014 20:41:15.909","699895808","311.34586971416434","104681472","12.453834788566574","7","71.844145624148339","10","1"
"11/25/2014 20:41:16.910","699629568","283.60069892860315","104681472","20.25719278061451","12","89.906383753006779","10","7"
"11/25/2014 20:41:17.911","699916288","299.18563534587122","104681472","20.257360726543368","9","90.896985135136731","10","3"
"11/25/2014 20:41:18.912","699895808","280.48672925702556","104681472","14.024336462851277","7","78.912138462334852","10","1"
"11/25/2014 20:41:19.913","699813888","277.36491831731433","104681472","12.465839025497271","10","92.891176351176284","10","4"
"11/25/2014 20:41:20.914","699912192","249.32412717886265","104681472","4.6748273846036748","7","92.89264734515001","10","1"
"11/25/2014 20:41:21.944","699908096","222.61268068720204","104681472","7.571859887319798","6","103.82651481425735","10","3"
"11/25/2014 20:41:22.947","696700928","342.47488608442251","104681472","12.453632221251727","7","80.865397346941464","10","2"
"11/25/2014 20:41:23.948","696414208","292.94844607867327","104681472","12.465891322496734","7","59.932228627262404","10","1"
"11/25/2014 20:41:24.949","696250368","263.34211201337359","104681472","21.815322888681834","9","83.90555908710131","10","5"
"11/25/2014 20:41:25.950","696139776","291.39638024326825","104689664","7.7913470653280292","6","55.929821027213308","10","1"
"11/25/2014 20:41:26.952","696160256","287.98964161984458","104689664","15.567007655126734","7","86.827826187328924","10","2"
"11/25/2014 20:41:27.953","696168448","282.04403099028326","104689664","10.907780204044105","7","57.933202457339675","10","1"
"11/25/2014 20:41:28.954","696578048","300.74272228353635","104689664","9.3495146823897333","6","84.904967878932396","10","2"
"11/25/2014 20:41:29.956","696246272","252.186027315188","104689664","17.123742595475729","10","80.821081602302243","10","4"
"11/25/2014 20:41:30.958","696307712","258.67161152200038","104689664","7.7913136000602528","6","90.910956891208073","10","2"
"11/25/2014 20:41:31.959","696156160","292.94124791692224","104693760","18.698377526612056","6","97.886602551684305","10","0"
