"(PDH-CSV 4.0) (Mountain Standard Time)(420)","\\WS2012-JJ\Process(w3wp)\Working Set - Private","\\WS2012-JJ\Process(w3wp)\% Processor Time","\\WS2012-JJ\Process(sqlservr)\Working Set - Private","\\WS2012-JJ\Process(sqlservr)\% Processor Time","\\WS2012-JJ\SQLServer:Transactions\Transactions","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613430997151589[1596])\SoftConnectsPerSecond","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613430997151589[1596])\NumberOfPooledConnections","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613430997151589[1596])\NumberOfActiveConnections"
"11/24/2014 15:52:32.338","121028608"," ","104574976"," ","10"," ","5","5"
"11/24/2014 15:52:33.362","210870272","361.36490320121391","104607744","10.673224989065391","10","22.485761281692898","5","5"
"11/24/2014 15:52:34.365","365428736","386.06094231475419","104607744","3.1133946960867274","9","21.953104538745698","5","4"
"11/24/2014 15:52:35.366","388505600","366.19115395322592","104607744","10.907821607117368","9","27.96924944896449","5","4"
"11/24/2014 15:52:36.367","402812928","375.54266596225403","104607744","1.5582683234948298","9","58.935574241417093","5","4"
"11/24/2014 15:52:37.368","407523328","370.77793661723229","104964096","3.1157809799767415","11","53.925443870180843","8","6"
"11/24/2014 15:52:38.369","407842816","336.65788860028306","105144320","3.1172026722248432","8","51.952279104273074","9","8"
"11/24/2014 15:52:39.370","409227264","347.49182293693036","105250816","4.6747778870439065","7","39.954938940981393","10","2"
"11/24/2014 15:52:40.371","408879104","364.62892372627914","105250816","1.5582432637875177","9","32.962569375753034","10","6"
"11/24/2014 15:52:41.372","409387008","311.65307321922376","105259008","9.3495921965767135","6","30.964336746898482","10","1"
"11/24/2014 15:52:42.374","409014272","372.42229764825277","105283584","4.6747568742458512","7","46.948251990621991","10","3"
"11/24/2014 15:52:43.375","409169920","366.18241200990707","105283584","0","11","44.947559746729738","10","6"
"11/24/2014 15:52:44.376","408965120","367.74871624396877","105283584","4.6747718166606198","12","23.973147331790265","10","7"
"11/24/2014 15:52:45.378","408829952","382.94819724819121","105283584","6.2267999552551414","10","25.94479145352231","10","9"
"11/24/2014 15:52:46.384","409116672","389.17383881213885","105283584","4.6514801451650056","10","20.866293016870035","10","9"
"11/24/2014 15:52:47.386","409010176","389.18117205449619","105283584","1.5567246882179848","11","25.952827640151547","10","6"
"11/24/2014 15:52:48.387","409034752","383.32872354930396","105283584","1.5582468436963575","7","20.976266849350999","10","4"
"11/24/2014 15:52:49.389","409010176","375.53985255790184","105283584","6.2330265984714002","7","22.974216507610546","10","3"
"11/24/2014 15:52:50.390","409202688","384.88635527084261","105299968","1.5582443533232495","8","26.969354247983006","10","3"
"11/24/2014 15:52:51.391","408727552","380.2169012441276","105299968","9.3495959322326438","12","26.969858482332651","10","8"
"11/24/2014 15:52:52.392","409272320","373.9813717716595","105299968","6.2330228628609907","11","22.974045014648723","10","8"
"11/24/2014 15:52:53.393","409419776","384.88827753411374","105299968","3.1165042715312854","10","21.975231748032936","10","7"
"11/24/2014 15:52:54.394","409272320","375.54075284270823","105299968","10.907822696676172","11","27.968827982540699","10","9"
"11/24/2014 15:52:55.397","408965120","377.89967958284166","105299968","6.2205708573307259","11","23.924717789879356","10","6"
"11/24/2014 15:52:56.398","408735744","352.1637866753768","105299968","10.907727905874504","12","37.957191993932327","10","8"
"11/24/2014 15:52:57.403","409190400","377.52461243923079","105299968","9.3215953688698949","12","24.896894281026793","10","8"
"11/24/2014 15:52:58.404","409481216","378.6576896694977","105299968","10.907834681837384","9","23.973396528229355","10","4"
"11/24/2014 15:52:59.405","409505792","383.32941276240234","105299968","6.2329985815024767","8","46.946326183940208","10","3"
"11/24/2014 15:53:00.407","409059328","343.92965947331294","105324544","9.3374568182799891","11","26.934652591201317","10","6"
"11/24/2014 15:53:01.409","409268224","375.27007424003455","105324544","7.7856861875525842","6","19.963105388060573","10","4"
"11/24/2014 15:53:02.411","409337856","372.05374767106167","105332736","4.6701307239045393","12","27.941640992508756","10","8"
"11/24/2014 15:53:03.412","409124864","356.84063018666188","105332736","4.6747680810479721","8","20.97547081519232","10","3"
"11/24/2014 15:53:04.414","409419776","376.719743243072","105332736","4.6700794616909747","11","25.946109676253396","10","6"
"11/24/2014 15:53:05.416","409374720","391.12007497119259","105332736","3.1164946212844029","11","23.972468339595093","10","8"
"11/24/2014 15:53:06.417","409055232","383.33301202662653","105332736","6.2330571061240088","8","21.975647212542281","10","4"
"11/24/2014 15:53:07.418","409067520","388.00462677868029","105332736","3.1165030263347813","9","23.972941623197048","10","4"
"11/24/2014 15:53:08.420","408813568","390.73185315338122","105332736","3.1134012203456671","8","25.924969179196189","10","4"
"11/24/2014 15:53:09.423","409141248","390.34152172005963","105332736","1.5551455048607954","9","24.940888503192735","10","4"
"11/24/2014 15:53:10.424","409112576","355.28670378400687","105332736","4.6748250497895647","10","41.955147411094039","10","4"
"11/24/2014 15:53:11.427","409448448","365.45748134818058","105332736","4.6654146555086884","6","56.82070629713381","10","1"
"11/24/2014 15:53:12.428","409411584","327.22869933119318","105332736","0","11","38.954163186845541","10","6"
