"(PDH-CSV 4.0) (Mountain Standard Time)(420)","\\WS2012-JJ\Process(w3wp)\Working Set - Private","\\WS2012-JJ\Process(w3wp)\% Processor Time","\\WS2012-JJ\Process(sqlservr)\Working Set - Private","\\WS2012-JJ\Process(sqlservr)\% Processor Time","\\WS2012-JJ\SQLServer:Transactions\Transactions","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613532578564976[1584])\SoftConnectsPerSecond","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613532578564976[1584])\NumberOfPooledConnections","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130613532578564976[1584])\NumberOfActiveConnections"
"11/24/2014 18:43:54.101","58867712"," ","103931904"," ","6"," ","1","0"
"11/24/2014 18:43:55.126","132165632","230.23927587494714","104288256","1.5247634163903785","10","14.660851002655262","5","5"
"11/24/2014 18:43:56.128","208359424","325.35091451719961","104296448","4.6701088208210475","8","19.957530496425136","5","4"
"11/24/2014 18:43:57.129","365993984","389.55953185632615","104296448","4.6747143822759147","9","23.972725883831071","5","4"
"11/24/2014 18:43:58.131","452677632","375.16458499355269","104296448","6.2267980911792984","8","18.959961852235118","5","4"
"11/24/2014 18:43:59.132","453451776","384.89043049177297","104390656","7.7913042609670651","8","27.968059229279341","6","4"
"11/24/2014 18:44:00.133","458739712","378.65523116819605","104796160","4.6747559403480992","11","22.974182849911436","10","7"
"11/24/2014 18:44:01.135","459239424","376.722788209746","104828928","14.010351627635181","12","23.949624126124515","10","7"
"11/24/2014 18:44:02.137","460304384","376.71872826511918","104828928","7.7834447988660989","13","19.956835070846363","10","9"
"11/24/2014 18:44:03.140","461398016","389.17243411527551","104837120","3.1133794729222042","12","23.949240225146454","10","8"
"11/24/2014 18:44:04.141","471506944","389.56801479310121","104845312","4.674816177517215","13","23.973605589640922","10","8"
"11/24/2014 18:44:05.142","471621632","388.00439423846535","104853504","4.6747517378128354","11","24.971974464794073","10","5"
"11/24/2014 18:44:06.143","471781376","366.18775222692864","104853504","4.6747372624714298","10","18.978561573127049","10","5"
"11/24/2014 18:44:07.144","471711744","375.54116547468703","104853504","4.6747862922160213","11","22.973785375971481","10","5"
"11/24/2014 18:44:08.146","471560192","381.39111667749199","104853504","7.7834921770916736","14","26.943180673769678","10","9"
"11/24/2014 18:44:09.147","471724032","342.81581229795898","104861696","10.907775845844149","11","19.977089003035381","10","5"
"11/24/2014 18:44:10.170","471322624","391.85845293921767","104861696","6.0989642480812085","14","29.315760568716151","10","10"
"11/24/2014 18:44:11.173","471859200","362.70852762716021","104869888","7.7834447988660989","8","18.963324083750365","10","4"
"11/24/2014 18:44:12.175","471306240","361.14899166414955","104869888","6.2267067528301645","8","22.951008116111069","10","4"
"11/24/2014 18:44:13.176","471224320","383.33492655641163","104869888","4.674816177517215","11","30.965399553054279","10","7"
"11/24/2014 18:44:14.177","471318528","364.63256592241635","104869888","4.6747764861848253","13","23.973252696095443","10","9"
"11/24/2014 18:44:15.179","471412736","358.03996131436946","104869888","6.2267819359020775","11","20.955395337696068","10","10"
"11/24/2014 18:44:16.180","471801856","381.77490028916617","104869888","6.2330595965578146","9","22.97472138493173","10","6"
"11/24/2014 18:44:17.181","471834624","381.77207833609168","104869888","9.3495202857818391","12","25.970568993232089","10","9"
"11/24/2014 18:44:18.182","471756800","363.07332789612502","104869888","4.6747638784908796","10","21.975354392748329","10","7"
"11/24/2014 18:44:19.184","471904256","370.86408240145937","104869888","10.907767129454687","11","26.969457727375307","10","7"
"11/24/2014 18:44:20.185","471801856","378.65534463678421","104869888","7.7912622353247762","11","23.972960019756766","10","8"
"11/24/2014 18:44:21.186","471920640","381.77234527581226","104869888","4.6747634115405585","12","22.974251768163011","10","8"
"11/24/2014 18:44:22.188","471941120","364.26674325027153","104869888","1.5566954839755194","10","22.951372810958294","10","6"
"11/24/2014 18:44:23.197","471605248","381.83789374922333","104869888","12.367219230744075","11","25.745620001478596","10","8"
"11/24/2014 18:44:24.199","471896064","359.59518559057966","104902656","4.6700673453322032","10","22.967185793182438","10","7"
"11/24/2014 18:44:25.200","471621632","386.44375041015934","104902656","3.1164818581464462","8","22.974275809510839","10","4"
"11/24/2014 18:44:26.202","471572480","382.9504136478597","104902656","6.2268359942741416","9","22.951318425903661","10","4"
"11/24/2014 18:44:27.204","471822336","380.21412878392493","104902656","1.5582546261636268","11","28.967156941330146","10","10"
"11/24/2014 18:44:28.205","471822336","372.4250504884227","104902656","10.907846667024931","9","23.973301197436108","10","6"
"11/24/2014 18:44:29.207","471785472","322.23435743436357","104923136","1.5566877170742202","12","20.955370510194879","10","7"
"11/24/2014 18:44:30.208","472121344","373.98200682612679","104923136","10.907808532428696","10","20.974568033393368","10","6"
"11/24/2014 18:44:31.209","471486464","331.90806960555454","104923136","9.3495230874804083","9","28.97063921911105","10","8"
