"(PDH-CSV 4.0) (Mountain Standard Time)(420)","\\WS2012-JJ\Process(w3wp)\Working Set - Private","\\WS2012-JJ\Process(w3wp)\% Processor Time","\\WS2012-JJ\Process(sqlservr)\Working Set - Private","\\WS2012-JJ\Process(sqlservr)\% Processor Time","\\WS2012-JJ\SQLServer:Transactions\Transactions","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614311629797855[1588])\SoftConnectsPerSecond","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614311629797855[1588])\NumberOfPooledConnections","\\WS2012-JJ\.NET Data Provider for SqlServer(_lm_w3svc_2_root-1-130614311629797855[1588])\NumberOfActiveConnections"
"11/25/2014 16:19:58.549","44007424"," ","103403520"," ","6"," ","1","0"
"11/25/2014 16:19:59.571","44007424","0","103403520","0","6","0","1","0"
"11/25/2014 16:20:00.576","44056576","0","103403520","0","6","0","1","0"
"11/25/2014 16:20:01.578","44040192","0","103403520","0","6","0","1","0"
"11/25/2014 16:20:02.579","105299968","182.3151174542532","104001536","4.6747466013911074","9","42.953507117991627","5","5"
"11/25/2014 16:20:03.580","181059584","306.97864508333879","104001536","24.932275742809242","7","70.916721695174758","5","3"
"11/25/2014 16:20:04.582","313208832","239.97003789912094","104017920","21.815457990829177","7","90.899921194055167","5","3"
"11/25/2014 16:20:05.583","426295296","294.51153640960933","104259584","15.582620974053404","9","77.911772203275561","7","3"
"11/25/2014 16:20:06.584","571437056","258.66923443047637","104468480","15.582484001835924","7","98.890495244360707","9","3"
"11/25/2014 16:20:07.585","703270912","311.65490992681453","104484864","18.699294595608869","8","91.900680733607786","9","3"
"11/25/2014 16:20:08.586","817967104","249.3141906010751","104484864","17.140350603823912","8","77.906886172469584","9","2"
"11/25/2014 16:20:09.587","936656896","283.60591137531907","104493056","21.815839336563002","10","81.909167662081458","9","4"
"11/25/2014 16:20:10.588","927694848","302.29892141387171","104493056","10.907693040706711","6","74.914653410807986","9","2"
"11/25/2014 16:20:11.589","927375360","310.09598490004851","104493056","20.257526651761964","7","89.899252320983351","9","1"
"11/25/2014 16:20:12.596","926773248","316.30316486004091","104493056","9.3030342605894401","8","57.646471894432239","9","4"
"11/25/2014 16:20:13.597","927342592","303.55619490657529","104800256","12.453587483346677","6","54.888694426061086","10","1"
"11/25/2014 16:20:14.615","926986240","242.32652818448472","104816640","10.735985425894894","12","53.085894486200573","10","8"
"11/25/2014 16:20:15.651","927137792","249.69526881795079","104824832","21.058637129224767","9","59.782577746961429","10","4"
"11/25/2014 16:20:16.663","927641600","337.87909536330073","104824832","12.342615355737015","8","64.28328939369797","10","4"
"11/25/2014 16:20:17.664","927576064","260.22787273168592","104812544","15.582507349202752","6","99.884713366287386","10","1"
"11/25/2014 16:20:18.665","927461376","313.20742787090734","104812544","4.6747377294165275","7","59.931588938704913","10","2"
"11/25/2014 16:20:19.667","927412224","316.3258470961697","104812544","18.69906485297555","8","92.89798089899304","10","4"
"11/25/2014 16:20:20.668","927879168","317.88543611776305","104812544","15.582619417537408","9","62.929700523399504","10","4"
"11/25/2014 16:20:21.669","927387648","258.66967367235867","104857600","18.699012554628336","7","77.908723117721678","10","3"
"11/25/2014 16:20:22.671","927510528","316.00643983228258","104857600","15.566819696171555","7","53.886680573085705","10","2"
"11/25/2014 16:20:23.672","927735808","302.30477947944661","104873984","21.815808828413672","7","93.892829220756056","10","3"
"11/25/2014 16:20:24.709","927817728","315.87358735217867","104873984","16.545759337495074","9","75.148714737516343","10","4"
"11/25/2014 16:20:25.711","927657984","236.61776078728388","104873984","18.6803495358382","8","83.891524782491686","10","4"
"11/25/2014 16:20:26.712","927596544","313.21262132091647","104873984","18.699260974383076","7","94.896396018030643","10","1"
"11/25/2014 16:20:27.721","927408128","244.49076504744815","104873984","9.2844594321815759","13","85.305754062465837","10","7"
"11/25/2014 16:20:28.722","927756288","327.23487702100704","104873984","14.024351872328872","10","85.901153121497998","10","4"
"11/25/2014 16:20:29.723","927567872","280.48591676054428","104873984","12.466040744913078","6","82.902126000796372","10","2"
"11/25/2014 16:20:30.724","927600640","300.74416422915419","104873984","14.024339264571958","6","92.903366919292182","10","1"
"11/25/2014 16:20:31.725","927465472","275.81112393111636","104873984","10.90778456224754","7","83.905804934110989","10","1"
"11/25/2014 16:20:32.726","927744000","277.36724554355362","104873984","10.90770066744312","9","95.888167594578235","10","3"
"11/25/2014 16:20:33.727","877846528","322.56054414212548","104873984","9.3495809896268263","6","65.926293139171889","10","2"
"11/25/2014 16:20:34.749","878399488","241.14659736779336","104873984","12.209954297103462","7","106.60060816407574","10","3"
"11/25/2014 16:20:35.751","878288896","266.45890609910896","104873984","6.2329568678154148","6","99.92362408197458","10","2"
"11/25/2014 16:20:36.763","877686784","343.71217639115196","104873984","21.578342912449003","9","75.039058273616092","10","4"
"11/25/2014 16:20:37.765","877944832","308.22327603678178","104873984","18.680198547683744","9","89.867322151072869","10","4"
"11/25/2014 16:20:38.766","878063616","264.90831404219824","104873984","14.024557802234025","10","97.898793147162252","10","4"
"11/25/2014 16:20:39.767","877834240","260.22587125214767","104873984","15.582387500128602","14","104.87677609833774","10","10"
"11/25/2014 16:20:40.769","878264320","326.9071933790342","104873984","17.123710129377979","8","67.853404746801786","10","3"
"11/25/2014 16:20:41.771","819200000","309.78524528000639","104873984","6.2268391011056554","7","98.793073959954469","10","1"
"11/25/2014 16:20:42.772","818958336","285.15552653099058","104873984","17.140496130278123","6","86.898203293725487","10","4"
"11/25/2014 16:20:43.775","819146752","336.2502509686492","104873984","17.12385537340343","7","71.846218509708152","10","3"
"11/25/2014 16:20:44.777","819113984","289.54798930786836","104873984","9.3402577196086582","6","101.79382707960728","10","1"
"11/25/2014 16:20:45.778","818462720","325.67219152486604","104873984","14.024161357530119","8","83.895978029473213","10","2"
"11/25/2014 16:20:46.779","818475008","313.20376753069843","104873984","12.465821593261628","10","112.87656104387393","10","7"
"11/25/2014 16:20:47.780","817893376","325.67785189044571","104878080","10.907870637479043","11","54.94051702835322","10","6"
"11/25/2014 16:20:48.781","818040832","272.6955129389695","104882176","15.582600739369687","6","73.909975292313831","10","1"
"11/25/2014 16:20:49.782","818229248","321.00122252575881","104882176","12.466066894204225","8","58.937556119120792","10","4"
"11/25/2014 16:20:50.783","818438144","294.51265430375383","104882176","14.024412109702563","6","95.894710030437636","10","0"
"11/25/2014 16:20:51.785","817954816","289.82951249801852","104882176","12.465785483785744","8","55.928557029729077","10","2"
"11/25/2014 16:20:52.788","818237440","320.36150694152025","104882176","20.216988302134773","7","82.749206824460401","10","3"
"11/25/2014 16:20:53.794","818130944","260.48697871629878","104882176","15.505177304541595","9","77.527347941115707","10","3"
"11/25/2014 16:20:54.829","817512448","334.56361377393978","104882176","25.619736189896287","10","79.213654082901954","10","4"
"11/25/2014 16:20:55.886","817422336","326.13362065499689","104882176","16.232895145723827","7","72.812110389117223","10","4"
"11/25/2014 16:20:56.888","817901568","339.35812550342587","104882176","14.010197841884557","9","75.871516027238627","10","3"
"11/25/2014 16:20:57.935","817397760","332.22464843173645","104882176","10.4285764081711","12","76.336735779209505","10","9"
"11/25/2014 16:20:59.020","817442816","337.83953646427295","104882176","14.376150487841402","11","66.402169887338232","10","7"
"11/25/2014 16:21:00.022","817680384","314.76809475425836","104882176","12.466063158584488","10","85.904808732998333","10","4"
"11/25/2014 16:21:01.023","817893376","347.48807427734721","104882176","18.698909826583705","11","91.893993992339006","10","6"
"11/25/2014 16:21:02.025","817901568","353.3711442956851","104882176","15.567010761924454","9","88.811815351814346","10","4"
"11/25/2014 16:21:03.026","817901568","341.25899027981478","104882176","10.907821607117368","6","61.930500993145927","10","3"
"11/25/2014 16:21:04.027","817799168","291.39326581414139","104882176","20.257285858737102","8","84.903943170471493","10","4"
"11/25/2014 16:21:05.028","817737728","296.06548079417354","104882176","10.907675608206395","6","79.905786246337826","10","1"
"11/25/2014 16:21:06.030","818151424","253.74073088397461","104882176","20.236990806697364","8","105.77825114739163","10","3"
"11/25/2014 16:21:07.032","817917952","345.9350494926079","104882176","6.2330639548217635","8","63.928892391335744","10","4"
"11/25/2014 16:21:08.033","817451008","292.9505236626851","104882176","15.582474662908785","9","73.916853619357113","10","4"
"11/25/2014 16:21:09.034","818012160","275.81308000086307","104882176","15.58265988705441","10","96.888273350294057","10","5"
"11/25/2014 16:21:10.035","817446912","349.04830408401079","104882176","26.490273077804389","13","57.936346890949721","10","7"
"11/25/2014 16:21:11.036","817307648","310.09431225709733","104882176","18.69915450796567","13","81.908173385222184","10","8"
"11/25/2014 16:21:12.037","817594368","299.18539626627967","104882176","7.7912863611010339","6","78.907640974265746","10","3"
"11/25/2014 16:21:13.057","817291264","274.98668409021269","104882176","7.6385190025059071","7","78.353240044005432","10","4"
"11/25/2014 16:21:14.060","818032640","244.40667845050831","104988672","20.237495667876484","10","112.71606426195228","10","4"
"11/25/2014 16:21:15.062","818040832","257.11162808352179","104988672","6.2330091656611346","9","83.932944762871912","10","3"
"11/25/2014 16:21:16.063","818012160","297.62520660376913","104988672","17.140718704929114","7","106.87913359580733","10","2"
"11/25/2014 16:21:17.065","818102272","267.75357369198298","104988672","21.793895533068383","6","86.815614635305622","10","3"
"11/25/2014 16:21:18.066","817713152","230.62184592585666","104988672","23.373835735728719","6","81.909059090445794","10","1"
"11/25/2014 16:21:19.067","820092928","305.41647288587149","104996864","7.7912365532110073","6","75.910883503293931","10","3"
"11/25/2014 16:21:20.068","819634176","264.90265139683811","104996864","12.466007124557088","9","89.900600746015883","10","4"
"11/25/2014 16:21:21.069","819974144","272.69425995247758","105009152","17.140782054155736","6","107.8646548381971","10","2"
"11/25/2014 16:21:22.071","819855360","306.67002020404823","105009152","21.793808542419672","8","88.812551922165525","10","2"
"11/25/2014 16:21:23.074","820248576","255.29877268975252","105009152","23.350497502111512","8","110.77403711212362","10","2"
"11/25/2014 16:21:24.075","820011008","300.74296260684582","105009152","9.3495221535806987","6","88.892185899302333","10","3"
"11/25/2014 16:21:25.090","819331072","302.73284283545729","105009152","12.293719506008419","8","88.661322505479603","10","2"
"11/25/2014 16:21:26.093","810909696","253.49554032943843","104988672","21.772623095779984","10","119.63709090336859","10","4"
"11/25/2014 16:21:27.094","810921984","296.06973935941267","104988672","10.907832502715204","7","77.913332166419565","10","6"
"11/25/2014 16:21:28.120","810516480","273.64713155715913","104988672","15.202618419842173","12","95.420422155209138","10","6"
"11/25/2014 16:21:29.123","810737664","256.60097796844508","104996864","7.7757872111650013","7","85.805056335191779","10","2"
